ID,album,albumPeakPositionUS,year,TrackNumber,title,side,length,key,chords,writers,linkLyrics,lengthS,lyrics,nbreWriters
12,Ramones,111,1976,12,Let's Dance,B,1M 51S,G,5,Jim Lee,http://www.azlyrics.com/lyrics/ramones/letsdance.html,111S,"Hey baby won't you take a chance? < br>Say that you'll let me have this dance? < br>Well let's dance; let's dance. < br>We'll do the twist, the stomp, the mashed potato too. < br>Any old dance that you wanna do. < br>Well let's dance; let's dance. < br>Hey baby yeah you thrill the soul, hold me close, dont you let me go. < br>Well let's dance. < br>Hey baby if you're all alone, baby you'll let me walk you home. < br>Let's dance. < br>Hey baby yeah you swing it right, yes I know that tonight's the night. < br>Let's dance.",1
13,Ramones,111,1976,13,I Don't Wanna Walk Around With You,B,1M 43S,E,4,Dee Dee Ramone,http://www.azlyrics.com/lyrics/ramones/idontwannawalkaroundwithyou.html,103S,I dont wanna walk around with you < br>I dont wanna walk around with you < br>I dont wanna walk around with you < br>So why you wanna walk around with me? < br>I dont wanna walk around with you,1
14,Ramones,111,1976,14,"Today Your Love, Tomorrow The World",B,2M 9S,C,5,Dee Dee Ramone,http://www.azlyrics.com/lyrics/ramones/todayyourlovetomorrowtheworld.html,129S,"I'm a shock trooper in a stupor  < br>Yes I am. < br>I'm a Nazi schatze < br>Y'know I fight for fatherland < br>Little German boy < br>Being pushed around < br>Little German boy < br>In a German town < br>Today your love, tomorrow the world",1
15,Leave Home,148,1977,1,Glad To See You Go,A,2M 10S,D,6,"Dee Dee Ramone, Joey Ramone",http://www.azlyrics.com/lyrics/ramones/gladtoseeyougo.html,130S,"Gonna take a chance on her one bullet in the cylinder < br>And in a moment of passion get the glory like Charles Manson < br>Gonna smile, I'm gonna laugh you're gonna get a blood bath < br>And in a moment of passion get the glory like Charles Manson < br>You gotta go go go go goodbye glad to see you go go go go goodbye < br>Now I know the score I dont need you anymore dont want < br>You cause you're a bore I need somebody good I need a miracle < br>Should I take a chance on her? one bullet in the cylinder < br>Gonna smile, I'm gonna laugh they're gonna want my autograph < br>And in a moment of passion get the glory like Charles Manson < br>You gotta go go go go goodbye Glad to see you go go go go goodbye < br>Goodbye",2
16,Leave Home,148,1977,2,Gimme Gimme Shock Treatment,A,1M 38S,E,7,"Dee Dee Ramone, Johnny Ramone",http://www.azlyrics.com/lyrics/ramones/gimmegimmeshocktreatment.html,98S,"I was feeling sick I was loosing my mind I heard about these treatments < br>From a good friend of mine he was always happy smile on his face < br>He said he had a great time at the place < br>Peace and love is here to stay and now I can wake up and face the day < br>Happy happy happy all the time shock treatment, I'm doing fine < br>Gimme gimme shock treatment Gimme gimme shock treatment < br>Gimme gimme shock treatment I wanna, wanna shock treatment < br>I was feeling sick I was loosing my mind I heard about these treatments < br>From a good friend of mine he was always happy smile on his face < br>He said he had a great time at the place < br>Peace and love is here to stay and now I can wake up and face the day < br>Happy happy happy all the time shock treatment, I'm doing fine < br>Gimme gimme shock treatment Gimme gimme shock treatment < br>Gimme gimme shock treatment Gimme gimme shock treatment < br>Gimme gimme shock treatment Gimme gimme shock treatment < br>Gimme gimme shock treatment I wanna, wanna shock treatment",2
17,Leave Home,148,1977,3,I Remember You,A,2M 15S,E,4,Joey Ramone,http://www.azlyrics.com/lyrics/ramones/irememberyou.html,135S,"I remember you I remember You I remember you < br>I remember lying awake at night and thinking just of you < br>But things dont last forever and somehow baby < br>They never really do They never really do < br>I remember you I remember You I remember you < br>I remember lying awake at night and thinking just of you < br>But things dont last forever and somehow baby < br>They never really do They never really do < br>I remember you I remember You I remember you < br>I remember you I remember You I remember you < br>I remember you, you I remember you I remember you < br>I remember lying awake at night and thinking just of you < br>But things dont last forever and somehow baby < br>They never really do They never really do < br>I remember you I remember You I remember you < br>I remember you I remember You I remember you < br>I remember you",1
18,Leave Home,148,1977,4,Oh Oh I Love Her So,A,2M 3S,A,5,Joey Ramone,http://www.azlyrics.com/lyrics/ramones/ohohiloveherso.html,123S,"I met her at the Burger King we fell in love by the soda machine < br>So we took the car downtown the kids were hanging out all around < br>Then we went down to Coney Island on the coaster and around again < br>And no one's gonna ever tear us apart cause she's my sweetheart < br>All right, oh yeah < br>Oh oh I love her so Oh oh I love her so Oh oh I love her so < br>Oh oh I love her so Oh oh I love her so Oh oh I love her so < br>Hanging out on a night like this I'm gonna give her a great big kiss < br>I'm gonna make her mine and everything's gonna be real fine < br>I met her at the Burger King we fell in love by the soda machine < br>So we took the car downtown the kids were hanging out all around < br>Then we went down to Coney Island on the coaster and around again < br>And no one's gonna ever tear us apart cause she's my sweetheart < br>All right, oh yeah < br>Oh oh I love her so Oh oh I love her so Oh oh I love her so < br>Oh oh I love her so Oh oh I love her so Oh oh I love her so",1
19,Leave Home,148,1977,5,Carbona Not Glue,A,1M 56S,A,8,Ramones,http://www.azlyrics.com/lyrics/ramones/carbonanotglue.html,116S,Wondering what I'm doing tonight I've been in the closet and feel all right < br>Ran out of Carbona Mom threw out the glue < br>Ran out of paint and roach spray too It's TV's fault why I am this way < br>Mom and pop wanna put me away < br>From the early morning movie to the late late show < br>After it's over nowhere to go And I'm not sorry for the things I do < br>My brain is stuck from shooting glue I'm not sorry for the things I do < br>Carbona not glue,1
20,Leave Home,148,1977,6,Suzy Is A Headbanger,A,2M 8S,G,4,Ramones,http://www.azlyrics.com/lyrics/ramones/suzyisaheadbanger.html,128S,"Ooo-whee, do it one more time for me! < br>Ooo-whee, do it one more time for me! < br>Can't stop stop that girl there she goes again I really really love < br>To watch her watch her headbangin' Suzy is a headbanger < br>Her mother is a geek < br>Do it one more time for me Ooo-ooo-whee! Ooo-ooo-whee! < br>Headbanging, Headbanging, Headbanging, Headbanging! < br>Headbanging, Headbanging, Headbanging",1
21,Leave Home,148,1977,7,Pinhead,A,2M 42S,A,6,Ramones,http://www.azlyrics.com/lyrics/ramones/pinhead.html,162S,"Gabba gabba we accept you, we accept you one of us! < br>Gabba gabba we accept you, we accept you one of us! < br>I dont wanna be a pinhead no more. I just met a nurse that I could go for. < br>I dont wanna be a pinhead no more. I just met a nurse that I could go for. < br>I dont wanna be a pinhead no more. I just met a nurse that I could go for. < br>I dont wanna be a pinhead no more. I just met a nurse that I could go for. < br>D-U-M-B < br>Everyone's accusing me! < br>D-U-M-B < br>Everyone's accusing me! < br>I dont wanna be a pinhead no more. I just met a nurse that I could go for. < br>I dont wanna be a pinhead no more. I just met a nurse that I could go for. < br>Gabba gabba hey! < br><i>[to fade]</i>",1
22,Leave Home,148,1977,8,Now I Wanna Be A Good Boy,B,2M 10S,A,7,Dee Dee Ramone,http://www.azlyrics.com/lyrics/ramones/nowiwannabeagoodboy.html,130S,Now I wanna be a good boy I dont wanna be bad < br>Now I wanna run away from home now I wanna be on my own < br>I just wanna be a good boy I dont wanna be bad < br>Now I wanna run away from home now I wanna be sad alone < br>Now I wanna be a good boy I dont wanna be bad < br>Now I wanna run away from home now I wanna be all alone now < br>Now I wanna be a good boy I dont wanna be bad < br>Now I wanna run away from home now I wanna be on my own,1
23,Leave Home,148,1977,9,Swallow My Pride,B,2M 3S,B,4,"Joey Ramone, Dee Dee Ramone",http://www.azlyrics.com/lyrics/ramones/swallowmypride.html,123S,"Winter is here and it's going on two years swallow my pride < br>And things were looking very grim but they're looking good again < br>Swallow my pride < br>Loose lips sink ships, they say but isn't it always that way? < br>Swallow my pride, oh yeah, oh yeah, oh yeah < br>Winter is here and it's going on two years swallow my pride < br>And things were looking very grim but they're looking good again < br>Swallow my pride < br>Gonna have a real cool time and everything's gonna be real fine < br>Swallow my pride, oh yeah < br>Winter is here and it's going on two years swallow my pride < br>And things were looking very grim but they're looking good again < br>Swallow my pride < br>Gonna have a real cool time and everything's gonna be real fine < br>Swallow my pride, oh yeah",2
24,Leave Home,148,1977,10,What's Your Game,B,2M 33S,A,3,Joey Ramone,http://www.azlyrics.com/lyrics/ramones/whatsyourgame.html,153S,"I know your name I know your game < br>Sweet Mary Jane you're quite insane < br>And all you ever want to be is like the other girls you see < br>And all you ever want to be is like the other girls you see, < br>Oh yeah Oh yeah Oh yeah < br>I know your name I know your game < br>Sweet Mary Jane you're quite insane < br>I know your name I know your game < br>Sweet Mary Jane you're quite insane < br>And all you ever want to be is like the other girls you see < br>And all you ever want to be is like the other girls you see, < br>Oh yeah Oh yeah Oh yeah Oh yeah",1
25,Leave Home,148,1977,11,California Sun,B,1M 58S,E,4,"Henry Glover, Morris Levy",http://www.azlyrics.com/lyrics/ramones/californiasun.html,118S,"Well I'm going out west where I belong < br>Where the days are short and the nights are long < br>And I'll walk a little walk I'll twist a little twist < br>I'll shimmy a little shimmy I'll fly a little fly < br>Yea we're out there having fun in the warm California sun < br>Well, I'm going out west out on the coast < br>Where the California girls are really the most < br>Where they walk and I'll walk They fish and I'll fish < br>They sin and I'll sin They fly and I'll fly < br>Where they're out there having fun in the warm California sun < br>Well, the girls are frisky in old 'Frisco < br>A pretty little chick wherever you go < br>And they walk and I'll walk They fish and I'll fish < br>They sin and I'll sin They fly and I'll fly < br>Where they're out there having fun in the warm California sun < br>We're out there having fun, yeah, in the warm California sun",2
26,Leave Home,148,1977,12,Commando,B,1M 51S,C#,5,"Dee Dee Ramone, Johnny Ramone",http://www.azlyrics.com/lyrics/ramones/commando.html,111S,"They do their best, they do what they can < br>They get them ready for Viet Nam < br>From old Hanoi to East Berlin < br>Commando - involved again < br>They do their best, they do what they can < br>They get them ready for Viet Nam < br>First rule is: The laws of Germany < br>Second rule is: Be nice to mommy < br>Third rule is: dont talk to commies < br>Fourth rule is: Eat kosher salamis < br><i>[REPEAT ALL ONCE]</i>",2
27,Leave Home,148,1977,13,You're Gonna Kill That Girl,B,2M 36S,A,4,Joey Ramone,http://www.azlyrics.com/lyrics/ramones/youregonnakillthatgirl.html,156S,"I saw her walking down the street he jumped down, < br>he knocked her off her feet and then I knew it was the end of her < br>He's gonna kill that girl He's gonna kill that girl < br>He's gonna kill that girl tonight < br>When I saw her walking down the street my heart stood still and skipped < br>A beat then he knocked her on the floor but he wanted just a little bit more < br>He's gonna kill that girl He's gonna kill that girl < br>He's gonna kill that girl tonight < br>When I saw her walking down the street my heart stood still and skipped < br>A beat then he knocked her on the floor but he wanted just a little bit more < br>I saw her lying on the street he jumped down, he knocked < br>her off her feet that's when I knew it was the end of her < br>He's gonna kill that girl He's gonna kill that girl < br>He's gonna kill that girl tonight < br>When I saw her walking down the street my heart stood still and skipped < br>A beat then he knocked her on the floor but he wanted just a little bit more",1
28,Leave Home,148,1977,14,You Should Have Never Opened That Door,B,1M 54S,B,6,"Dee Dee Ramone, Johnny Ramone",http://www.azlyrics.com/lyrics/ramones/youshouldhaveneveropenedthatdoor.html,114S,"Mama, where's your little daughter? < br>she's here, right here on the altar < br>You should never have opened that door < br>now you're never gonna see her no more < br>You dont know what I can do with this axe chop off your head < br>so you better relax < br><i>[REPEAT ALL ONCE]</i>",2
29,Rocket To Russia,49,1977,1,Cretin Hop,A,1M 55S,E,4,Ramones,http://www.azlyrics.com/lyrics/ramones/cretinhop.html,115S,There's no stoppin' the cretins from hoppin' < br>You gotta keep it beatin' < br>For all the hoppin' cretins < br>Cretin! Cretin! < br>I'm gonna go for a whirl with my cretin girl < br>My feet won't stop < br>Doin' the Cretin Hop < br>Cretin! Cretin! < br>1-2-3-4 < br>Cretins wanna hop some more < br>4-5-6-7 < br>All good cretins go to heaven < br><i>[repeat all]</i>,1
30,Rocket To Russia,49,1977,2,Rockaway Beach,A,2M 6S,D,7,Ramones,http://www.azlyrics.com/lyrics/ramones/rockawaybeach.html,126S,"Chewin' at a rhythm on my bubble gum < br>The sun is out, I want some < br>It's not hard, not far to reach < br>We can hitch a ride to Rockaway Beach < br>Up on the roof, out on the street < br>Down in the playground the hot concrete < br>Bus ride is too slow < br>They blast out the disco on the radio < br>Rock Rock Rockaway Beach < br>Rock Rock Rockaway Beach < br>Rock Rock Rockaway Beach < br>We can hitch a ride to Rockaway Beach <i>[x2]</i> < br>It's not hard, not far to reach < br>We can hitch a ride to Rockaway Beach <i>[x2]</i> < br><i>[Repeat all]</i>",1
31,Rocket To Russia,49,1977,3,"Here Today, Gone Tomorrow",A,2M 47S,D,3,Ramones,http://www.azlyrics.com/lyrics/ramones/heretodaygonetomorrow.html,167S,"Oh oh oh, oh oh oh < br>I love you < br>Oh oh oh, oh oh oh < br>I love you < br>I do, I do < br>But I told her why we just can't make it < br>I want you still but just can't take it < br>The time has come we oughta break it < br>Someone has to pay the price < br>Oh oh oh, oh oh oh < br>It's over < br>Oh oh oh, oh oh oh < br>It's true, it's true < br>And I think of times we were together < br>As time went on it seemed forever < br>But times have changed < br>Now things are better < br>Someone had to pay the price",1
32,Rocket To Russia,49,1977,4,Locket Love,A,2M 9S,D,4,Ramones,http://www.azlyrics.com/lyrics/ramones/locketlove.html,129S,Lovely lovely locket love < br>You could use a little of < br>Hang a chain around you < br>You're hangin' too < br>Hang on a little bit longer < br>Hang on you're a goner < br>Lovely lovely locket love < br>Cause a picture never does < br>Try to expose you < br>For what you put me through < br>Hang on a little bit longer < br>Hang on you're a goner < br>Never never can tell < br>How hard you fell < br>Lovely lovely locket 'cause < br>The best poison of < br>Lovely lovely locket love < br>You got a pocket of < br>Lovely little tricks you do < br>Now I'm hangin' too < br>Hang on a little bit longer < br>Hang on you're a goner,1
33,Rocket To Russia,49,1977,5,I Don't Care,A,1M 38S,A,3,Ramones,http://www.azlyrics.com/lyrics/ramones/idontcare.html,98S,I dont care < br>I dont care < br>I dont care < br>About this world < br>I dont care < br>About that girl < br>I dont care < br>I dont care < br>I dont care < br>About these words < br>I dont care,1
34,Rocket To Russia,49,1977,6,Sheena Is A Punk Rocker,A,2M 49S,B,6,Ramones,http://www.azlyrics.com/lyrics/ramones/sheenaisapunkrocker.html,169S,"Well the kids are all hopped up and ready to go < br>They're ready to go now they got their surfboards < br>And they're going to the discotheque Au Go Go < br>But she just couldn't stay she had to break away < br>Well New York City really has is all oh yeah, oh yeah < br>Sheena is a punk rocker < br>Sheena is a punk rocker < br>Sheena is a punk rocker now < br>Sheena is a punk rocker < br>Sheena is a punk rocker < br>Sheena is a punk rocker now < br>Well she's a punk punk, a punk rocker < br>Punk punk a punk rocker < br>Punk punk a punk rocker < br>Punk punk a punk rocker < br>Well the kids are all hopped up and ready to go < br>They're ready to go now they got their surfboards < br>And they're going to the discotheque Au Go Go < br>But she just couldn't stay she had to break away < br>Well New York City really has is all oh yeah, oh yeah < br>Sheena is a punk rocker < br>Sheena is a punk rocker < br>Sheena is a punk rocker now < br>Sheena is a punk rocker < br>Sheena is a punk rocker < br>Sheena is a punk rocker now < br>Well she's a punk punk, a punk rocker < br>Punk punk a punk rocker < br>Punk punk a punk rocker < br>Punk punk a punk rocker < br>Sheena is a punk rocker < br>Sheena is a punk rocker < br>Sheena is a punk rocker now < br>Sheena is a punk rocker < br>Sheena is a punk rocker < br>Sheena is a punk rocker now < br>Sheena is a punk rocker < br>Sheena is a punk rocker < br>Sheena is a punk rocker now",1
35,Rocket To Russia,49,1977,7,We're A Happy Family,A,2M 40S,A,6,Ramones,http://www.azlyrics.com/lyrics/ramones/wereahappyfamily.html,160S,We're a happy family < br>We're a happy family < br>We're a happy family < br>Me mom and daddy < br>Siting here in Queens < br>Eating refried beans < br>We're in all the magazines < br>Gulpin' down thorazines < br>We ain't got no friends < br>Our troubles never end < br>No Christmas cards to send < br>Daddy likes men < br>Daddy's telling lies < br>Baby's eating flies < br>Mommy's on pills < br>Baby's got the chills < br>I'm friends with the President < br>I'm friends with the Pope < br>We're all making a fortune < br>Selling Daddy's dope,1
36,Rocket To Russia,49,1977,8,Teenage Lobotomy,B,2M 0S,E,6,Ramones,http://www.azlyrics.com/lyrics/ramones/teenagelobotomy.html,120S,"Lobotomy, lobotomy, lobotomy, lobotomy! < br>DDT did a job on me < br>Now I am a real sickie < br>Guess I'll have to break the news < br>That I got no mind to lose < br>All the girls are in love with me < br>I'm a teenage lobotomy < br>Slugs and snails are after me < br>DDT keeps me happy < br>Now I guess I'll have to tell 'em < br>That I got no cerebellum < br>Gonna get my Ph.D. < br>I'm a teenage lobotomy",1
37,Rocket To Russia,49,1977,9,Do You Wanna Dance?,B,1M 52S,A,3,Bobby Freeman,http://www.azlyrics.com/lyrics/ramones/doyouwannadance.html,112S,"Do you wanna dance and hold my hand? < br>Tell me baby I'm your lover man < br>Oh baby, do you wanna dance? < br>Do you do you do you do you wanna dance < br>Do you do you do you do you wanna dance < br>Do you do you do you do you wanna dance < br>Well do you wanna dance under the moonlight? < br>Squeeze me baby all through the night < br>Oh baby, do you wanna dance? < br>Well do you wanna dance under the moonlight? < br>Squeeze me baby all through the night < br>Oh baby, do you wanna dance",1
38,Rocket To Russia,49,1977,10,I Wanna Be Well,B,2M 28S,A,5,Ramones,http://www.azlyrics.com/lyrics/ramones/iwannabewell.html,148S,"Yeah, I wanna be well < br>I wanna be well < br>I wanna be < br>I want I want I want < br>I want I want I want < br>Yeah, I wanna be well < br>I want my < br>LSD, golly gee, < br>DDT, wowee! < br>Daddy's broke < br>Holy smoke < br>My future's bleak < br>Ain't it neat?",1
39,Rocket To Russia,49,1977,11,I Can't Give You Anything,B,1M 57S,G,3,Ramones,http://www.azlyrics.com/lyrics/ramones/icantgiveyouanything.html,117S,"You better know what you want < br>You know how little I got < br>I can't give you anything < br>You think I'm real cute < br>But who's gonna briing home the loot? < br>Make up your mind about < br>Hope you dont doubt, that < br>I can't give you anything",1
40,Rocket To Russia,49,1977,12,Ramona,B,2M 35S,C,4,Ramones,http://www.azlyrics.com/lyrics/ramones/ramona.html,155S,"Hey Johnny, hey Dee Dee < br>Little Tom and Joey < br>You know we're comin' over < br>Sweet sweet little Ramona < br>You're getting better and better < br>It's getting easier than ever < br>Hey you kids in the crowd < br>You know you like it < br>When the music's loud < br>Sweet sweet little Ramona < br>she always wants to come over < br>Sweet sweet little Ramona < br>I think I'll try and phone her < br>I let her in if you're wondering why < br>Cause she's a spy for the BBI < br>I leter her in and I started to cry < br>And then I knew I wanted to die < br>Oooh, little Ramona",1
41,Rocket To Russia,49,1977,13,Surfin' Bird,B,2M 37S,A,3,"Carl White, Alfred Frazier, John Harris, Turner Wilson",http://www.azlyrics.com/lyrics/ramones/surfinbird.html,157S,Well everybody's heard about the bird < br>Bird bird bird < br>Bird is the word < br>dont you know about the bird < br>Well everybody knows that the bird is a word < br>Bird bird bird bird is a word,4
42,Rocket To Russia,49,1977,14,Why Is It Always This Way?,B,2M 32S,NA,5,Ramones,http://www.azlyrics.com/lyrics/ramones/whyisitalwaysthisway.html,152S,"Hey hey hey < br>Why is it always this way? < br>Last time I saw her alive < br>She was wavin', wavin' bye bye < br>She was contemplating suicide < br>Now she's lying < br>In a bottle of formaldehyde < br>And oh, I just dont know < br>Why I can't let her go < br>Oh I just dont know < br>Hey hey hey < br>Why is it always this way? < br>Last time I saw her alive < br>She was going to the wash and dry < br>She was outside hitchin' a ride < br>Now she's lying < br>In a bottle of formaldehyde",1
43,Road To Ruin,103,1978,1,I Just Want To Have Something To Do,A,2M 42S,A,3,Ramones,http://www.azlyrics.com/lyrics/ramones/ijustwanttohavesomethingtodo.html,162S,"Hanging out of Second Avenue < br>Eating chicken vindaloo < br>I just want to be with you < br>I just want to have something to do < br>Tonight, tonight, tonight,tonight,tonight,tonight < br>Well allright. < br>Tonight, tonight, tonight,tonight,tonight,tonight < br>Wait-Now < br>Wait-Now < br>Hanging out all by myself < br>Cause I dont want to be with anybody else < br>I just want to be with you  < br>I just want to have something to do < br>Tonight",1
44,Road To Ruin,103,1978,2,I Wanted Everything,A,3M 18S,G,6,Ramones,http://www.azlyrics.com/lyrics/ramones/iwantedeverything.html,198S,I heard about the Easter bunny < br>Presents under a Christimas tree < br>It was dreaming and fantasy < br>There was no Mom or Daddy < br>I wanted everything < br>I wanted everything < br>I wanted everything < br>I had the world on my shoulder < br>But I was getting older < br>Knew I was ready for it < br>Some kind of employment < br>I wanted everything < br>I wanted everything < br>I wanted everything < br>All day working on a truck < br>Bringing the groceries up < br>Not much of a salary < br>No tip for the delivery < br>I wanted everything < br>I wanted everything < br>I wanted everything < br>There's no success for me < br>Involved in a robberry < br>There's money in the supermarket < br>And I'm going after it < br>I wanted everything,1
45,Road To Ruin,103,1978,3,Don't Come Close,A,2M 44S,D,4,Ramones,http://www.azlyrics.com/lyrics/ramones/dontcomeclose.html,164S,Youn know it's generally known < br>You got everything at home < br>Kisses out of desperation < br>Bring you more aggravation < br>And you dont come close < br>You dont come close < br>You dont come close < br>You bring out your souvenirs < br>Soak them wet with your tears < br>You lose your imagination < br>Out of more aggravation < br>And you dont come close < br>You dont come close < br>You dont come close < br>You turn red with rage  < br>But act your age < br>Only thing that you regret < br>You need more time to forget < br>And you dont come close < br>You dont come close < br>You dont come close,1
46,Road To Ruin,103,1978,4,I Don't Want You,A,2M 26S,G,4,Ramones,http://www.azlyrics.com/lyrics/ramones/idontwantyou.html,146S,"You said that you'd be true < br>Baby said that you'd be true < br>I dont care, I dont care  < br>I dont care, I dont care < br>I dont want you  < br>dont want you  < br>I dont want you anymore < br>You said that you'd be mine  < br>Baby said that you'd be mine < br>I dont care, I dont care  < br>I dont care, I dont care < br>I dont want you...  < br>I want you I want you to stay < br>But I guess that it just can't be that way  < br>You said that you'd be true  < br>Baby said that you'd be true < br>I dont care, I dont care  < br>I dont care, I dont care < br>I dont want you...  < br>dont want want you...",1
47,Road To Ruin,103,1978,5,Needles And Pins,A,2M 21S,F#,8,"Sonny Bono, Jack Nitzsche",http://www.azlyrics.com/lyrics/ramones/needlesandpins.html,141S,"I saw her today, I saw her face  < br>It was the face of love, and I knew  < br>I had to run away  < br>And get down on my knees and pray, that they go away  < br>And still it begins, needles and pins  < br>Because of all my pride, the tears I gotta hide  < br>Oh I thought I was smart, I stole her heart  < br>I didn't think I'd do, but now I see  < br>She's worth to him than me, let her go ahead  < br>Take his love instead, and one day she will see < br>Just how to say please, and get down on her knees < br>Oh that's how it begins, she'll feel those needle and pins < br>Hurtin' her, hurtin' her < br>Why can't stop, and tell myself I'm wrong, I'm wrong, so wrong < br>Why can't I stand up, and tell myself I'm strong < br>Because, saw her today, I saw her face < br>It was the face of love, and I knew  < br>I had to run away < br>And get down on my knees and pray, that they go away < br>And still it begins, needles and pins < br>Because of all my pride, the tears I gotta hide < br>Needle and pins, needle and pins, needle and pins",2
